id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_002_000293.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7390958.1	28	65	112
Phum-OR502AA_002_000294.1	eggnog	COPI associated protein	519	945	1430
Phum-OR502AA_002_000591.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7390956.1	181	283	328
Phum-OR502AA_002_000295.1	eggnog	domain-containing protein	112	126	194
Phum-OR502AA_002_000590.1	eggnog	SNF5 / SMARCB1 / INI1	175	212	301
Phum-OR502AA_002_000296.1	eggnog	PPIases accelerate the folding of proteins	1984	2188	3000
Phum-OR502AA_002_000589.1	eggnog	ATPase family associated with various cellular activities (AAA)	102	120	209
Phum-OR502AA_002_000297.1	eggnog	D-Tyr-tRNA(Tyr) deacylase	5.41	3.151	6.725
Phum-OR502AA_002_000298.1	eggnog	Mis12 protein	99.013	156.468	215.954
Phum-OR502AA_002_000299.1	interproscan	PTHR36987 domain-containing protein	1324	1608	2297
Phum-OR502AA_002_000588.1	eggnog	Mis12 protein	75.987	85.532	146.046
Phum-OR502AA_002_000587.1	eggnog	D-Tyr-tRNA(Tyr) deacylase	321.59	300.849	465.275
Phum-OR502AA_002_000586.1	eggnog	domain-containing protein	311	429	661
Phum-OR502AA_002_000300.1	eggnog	domain-containing protein	452	628	870
Phum-OR502AA_002_000585.1	eggnog	Dynein heavy chain and region D6 of dynein motor	16	222	143
Phum-OR502AA_002_000584.1	interproscan	PTHR46731 domain-containing protein	7	83	49
Phum-OR502AA_002_000301.1	eggnog	secreted RxLR effector peptide protein	223.806	439.321	466.302
Phum-OR502AA_002_000583.1	eggnog	Serine carboxypeptidase	0	0	0
Phum-OR502AA_002_000582.1	eggnog	Serine carboxypeptidase	0	0	5.008
Phum-OR502AA_002_000302.1	eggnog	Maf-like protein	96	199	267
Phum-OR502AA_002_000581.1	eggnog	MBOAT, membrane-bound O-acyltransferase family	1750	1542	2539
Phum-OR502AA_002_000303.1	eggnog	MBOAT, membrane-bound O-acyltransferase family	1260	1362	2383
Phum-OR502AA_002_000580.1	unannotated	Hypothetical protein of unknown function	866	460	762
Phum-OR502AA_002_000579.1	eggnog	domain-containing protein	139	188	235
Phum-OR502AA_002_000304.1	eggnog	phosphoprotein phosphatase activity	214	287	366
Phum-OR502AA_002_000578.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	170	552	756
Phum-OR502AA_002_000305.1	eggnog	Myosin head (motor domain)	1093	1882	2715
Phum-OR502AA_002_000306.1	eggnog	Myosin head (motor domain)	147	296	267
Phum-OR502AA_002_000577.1	eggnog	domain-containing protein	703	752	1110
Phum-OR502AA_002_000307.1	eggnog	ABC1 family	283	533	798
Phum-OR502AA_002_000308.1	eggnog	domain-containing protein	3.287	19.386	88.188
Phum-OR502AA_002_000576.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ23099.1	16	150	186.409
Phum-OR502AA_002_000575.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6611818.1	47.157	59.313	67.235
Phum-OR502AA_002_000309.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6611818.1	68.843	54.687	83.765
Phum-OR502AA_002_000310.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ23099.1	0	0	80.591
Phum-OR502AA_002_000574.1	eggnog	domain-containing protein	45.713	106.614	115.812
Phum-OR502AA_002_000311.1	eggnog	Belongs to the peptidase C19 family	203	230	322
Phum-OR502AA_002_000573.1	eggnog	Peroxisomal membrane protein (Pex16)	186	283	335
Phum-OR502AA_002_000312.1	eggnog	domain-containing protein	49	68	83
Phum-OR502AA_002_000572.1	eggnog	Leucine Rich repeat	0	35	35
Phum-OR502AA_002_000313.1	eggnog	domain-containing protein	1843	1117	1681
Phum-OR502AA_002_000314.1	blastp	Homology to Peronospora farinosa predicted protein CAH0489763.1	7	32	95
Phum-OR502AA_002_000315.1	unannotated	Hypothetical protein of unknown function	3	1	11
Phum-OR502AA_002_000571.1	eggnog	C2H2-type zinc finger	136	234	267
Phum-OR502AA_002_000316.1	eggnog	Leucine Rich repeat	4	43	48
Phum-OR502AA_002_000570.1	eggnog	DNA binding	233	289	378
Phum-OR502AA_002_000317.1	eggnog	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands	232	200	225
Phum-OR502AA_002_000318.1	eggnog	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands	49	54	69
Phum-OR502AA_002_000569.1	blastp	Homology to Peronospora destructor predicted protein CAI5741821.1	72	77	140
Phum-OR502AA_002_000319.1	eggnog	domain-containing protein	247	296	440
Phum-OR502AA_002_000568.1	eggnog	Cytidylyltransferase-like	38	105	145
Phum-OR502AA_002_000320.1	eggnog	LsmAD	1792	2815	3917
Phum-OR502AA_002_000321.1	blastp	Homology to Phytophthora palmivora predicted protein POM80708.1	4	84	113
Phum-OR502AA_002_000567.1	blastp	Homology to Peronospora destructor predicted protein CAI5713828.1	55	294	410
Phum-OR502AA_002_000322.1	eggnog	domain-containing protein	87	115	174
Phum-OR502AA_002_000323.1	eggnog	domain-containing protein	375	452	730
Phum-OR502AA_002_000324.1	interproscan	G3DSA:3.90.190.10 domain-containing protein	1	30	24
Phum-OR502AA_002_000566.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7389112.1	11	844	902
Phum-OR502AA_002_000565.1	eggnog	domain-containing protein	1237	1886	2289
Phum-OR502AA_002_000564.1	eggnog	dihydroceramide kinase activity	1165	1686	2413
Phum-OR502AA_002_000563.1	eggnog	BT1 family	101	98	135
Phum-OR502AA_002_000325.1	eggnog	DHHC palmitoyltransferase	104	173	244
Phum-OR502AA_002_000562.1	blastp	Homology to Phytophthora palmivora predicted protein POM77908.1	119	148	208
Phum-OR502AA_002_000326.1	eggnog	spectrin binding	6	44	44
Phum-OR502AA_002_000327.1	eggnog	spectrin binding	16	69	79
Phum-OR502AA_002_000561.1	eggnog	ABC transporter	536	887	964
Phum-OR502AA_002_000328.1	eggnog	EF-hand domain pair	108	238	286
Phum-OR502AA_002_000560.1	unannotated	Hypothetical protein of unknown function	38	87	107
Phum-OR502AA_002_000329.1	blastp	Homology to Phytophthora infestans predicted protein XP_002997035.1	3	6	8
Phum-OR502AA_002_000559.1	eggnog	Acetokinase family	0	0	0
Phum-OR502AA_002_000558.1	eggnog	Acetokinase family	0	0	0
Phum-OR502AA_002_000557.1	eggnog	Broad-Complex, Tramtrack and Bric a brac	24	348	187
Phum-OR502AA_002_000330.1	eggnog	domain-containing protein	16	167	140
Phum-OR502AA_002_000556.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6975642.1	1	52	64
Phum-OR502AA_002_000331.1	eggnog	axoneme assembly	0	23	37
Phum-OR502AA_002_000555.1	blastp	Homology to Peronospora effusa predicted protein CAI5701796.1	402	462	684
Phum-OR502AA_002_000554.1	eggnog	domain-containing protein	721	915	1463
Phum-OR502AA_002_000332.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0482730.1	35	46	105
Phum-OR502AA_002_000553.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7376859.1	0	3	16
Phum-OR502AA_002_000333.1	interproscan	PTHR21694 domain-containing protein	0	19	25
Phum-OR502AA_002_000552.1	eggnog	domain-containing protein	1	40	38
Phum-OR502AA_002_000551.1	eggnog	domain-containing protein	99	206	480
Phum-OR502AA_002_000334.1	eggnog	Succinate dehydrogenase/Fumarate reductase transmembrane subunit	1469	1612	2528
Phum-OR502AA_002_000335.1	eggnog	C2H2-type zinc finger	71	60	78
Phum-OR502AA_002_000336.1	eggnog	DUF1771	406	800	1191
Phum-OR502AA_002_000550.1	eggnog	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	3500	5417	6485
Phum-OR502AA_002_000337.1	eggnog	Glycosyl hydrolase family 1	509	1589	1629
Phum-OR502AA_002_000549.1	eggnog	Glycosyl hydrolase family 1	2172	3653	4571
Phum-OR502AA_002_000548.1	eggnog	domain-containing protein	3057	3593	4945
Phum-OR502AA_002_000338.1	eggnog	domain-containing protein	407	408	490
Phum-OR502AA_002_000339.1	eggnog	Glycosyl hydrolase family 1	619	3330	3636
Phum-OR502AA_002_000547.1	eggnog	alpha/beta hydrolase fold	1228	1352	2525
Phum-OR502AA_002_000340.1	blastp	Homology to Peronospora farinosa predicted protein CAH0493827.1	90	120	190
Phum-OR502AA_002_000546.1	eggnog	domain-containing protein	617	361	437
Phum-OR502AA_002_000341.1	blastp	Homology to Peronospora destructor predicted protein CAI5712688.1	389	514	753
Phum-OR502AA_002_000545.1	eggnog	actin filament binding	427	520	776
Phum-OR502AA_002_000342.1	eggnog	PPR repeat	190	217	403
Phum-OR502AA_002_000544.1	eggnog	domain-containing protein	53	215	200
Phum-OR502AA_002_000343.1	eggnog	Tetratricopeptide repeat	70	394	285
Phum-OR502AA_002_000543.1	eggnog	domain-containing protein	2560	3084	4645
Phum-OR502AA_002_000344.1	blastp	Homology to Phytophthora sojae predicted protein XP_009526014.1	1	50	107
Phum-OR502AA_002_000345.1	interproscan	PTHR15146 domain-containing protein	41	68	98
Phum-OR502AA_002_000542.1	eggnog	motile cilium assembly	40	95	122
Phum-OR502AA_002_000346.1	eggnog	GNS1/SUR4 family	1317	906	1023
Phum-OR502AA_002_000347.1	eggnog	Tricarboxylate carrier	111	132	153
Phum-OR502AA_002_000541.1	eggnog	domain-containing protein	43	40	71
Phum-OR502AA_002_000348.1	eggnog	Uncharacterized conserved protein (DUF2039)	61	124	187
Phum-OR502AA_002_000540.1	eggnog	Hermansky-Pudlak syndrome 3	125	283	352
Phum-OR502AA_002_000539.1	eggnog	domain-containing protein	48	676	473
Phum-OR502AA_002_000538.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7484236.1	56.994	43.921	58.517
Phum-OR502AA_002_000349.1	blastp	Homology to Phytophthora rubi predicted protein KAE9026242.1	3	4	2
Phum-OR502AA_002_000350.1	blastp	Homology to Phytophthora nicotianae predicted protein KUF85100.1	0	0	0
Phum-OR502AA_002_000351.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	147.006	161.079	324.483
Phum-OR502AA_002_000352.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	34	102	140
Phum-OR502AA_002_000537.1	eggnog	ER lumen protein retaining receptor	2131	2558	3751
Phum-OR502AA_002_000353.1	unannotated	Hypothetical protein of unknown function	0	6	13.685
Phum-OR502AA_002_000536.1	unannotated	Hypothetical protein of unknown function	5	5	5.315
Phum-OR502AA_002_000354.1	eggnog	Las17-binding protein actin regulator	213	620	683
Phum-OR502AA_002_000535.1	eggnog	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes	207	401	593
Phum-OR502AA_002_000355.1	eggnog	Belongs to the peroxisomal membrane protein PXMP2 4 family	109	345	366
Phum-OR502AA_002_000534.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7389540.1	0	22	25
Phum-OR502AA_002_000356.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7389539.1	4	45	75
Phum-OR502AA_002_000533.1	eggnog	Transcriptional regulator of RNA polII, SAGA, subunit	21	27	36
Phum-OR502AA_002_000357.1	eggnog	domain-containing protein	51	50	113
Phum-OR502AA_002_000532.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6963025.1	4	51	66
Phum-OR502AA_002_000358.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2954232.1	4	10	14
Phum-OR502AA_002_000531.1	eggnog	Domain with 2 conserved Trp (W) residues	30	181.929	166.256
Phum-OR502AA_002_000530.1	eggnog	Serine carboxypeptidase	970.8	1988.061	2140.559
Phum-OR502AA_002_000359.1	eggnog	Serine carboxypeptidase	1596.2	2719.939	3907.441
Phum-OR502AA_002_000360.1	eggnog	domain-containing protein	0	57.071	82.744
Phum-OR502AA_002_000361.1	eggnog	EF hand	0	13	33
Phum-OR502AA_002_000362.1	eggnog	Mib_herc2	2771	4521	5869
Phum-OR502AA_002_000363.1	eggnog	Type I phosphodiesterase / nucleotide pyrophosphatase	150	244	285
Phum-OR502AA_002_000529.1	eggnog	Leucine-rich repeat	204	340	490
Phum-OR502AA_002_000364.1	eggnog	ubiquitinyl hydrolase activity	1733	2767	3755
Phum-OR502AA_002_000528.1	eggnog	domain-containing protein	90	139	156
Phum-OR502AA_002_000527.1	eggnog	Crinkler (CRN) family protein	0	0	1
Phum-OR502AA_002_000526.1	eggnog	MOZ/SAS family	34	47	84
Phum-OR502AA_002_000365.1	eggnog	Protein of unknown function (DUF3712)	184	306	417
Phum-OR502AA_002_000366.1	eggnog	Aldo/keto reductase family	410	952	1310
Phum-OR502AA_002_000367.1	eggnog	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase	195	275	374
Phum-OR502AA_002_000525.1	eggnog	Required for nuclear transport of RNA pol II C-terminus 1	461	688	1073
Phum-OR502AA_002_000368.1	eggnog	PhoX homologous domain, present in p47phox and p40phox	122	323	733
Phum-OR502AA_002_000524.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	2657	3864	5534
Phum-OR502AA_002_000523.1	eggnog	Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation	301	385	592
Phum-OR502AA_002_000522.1	unannotated	Hypothetical protein of unknown function	0	1	0
Phum-OR502AA_002_000369.1	blastp	Homology to Phytophthora rubi predicted protein KAE9349211.1	6	81	51
Phum-OR502AA_002_000370.1	eggnog	GPCR-chaperone	0	5.794	4
Phum-OR502AA_002_000371.1	eggnog	Belongs to the glycosyl hydrolase 1 family	1861.793	4781.824	5960.028
Phum-OR502AA_002_000521.1	eggnog	WD domain, G-beta repeat	331	422	671
Phum-OR502AA_002_000520.1	eggnog	Kinase-like	39	250	260
Phum-OR502AA_002_000519.1	eggnog	Belongs to the glycosyl hydrolase 1 family	477.207	1139.176	1222.972
Phum-OR502AA_002_000518.1	eggnog	GPCR-chaperone	0	5.206	0
Phum-OR502AA_002_000372.1	interproscan	PTHR13029 domain-containing protein	56	203	249
Phum-OR502AA_002_000517.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000373.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7484150.1	352.546	942.67	1420.631
Phum-OR502AA_002_000516.1	eggnog	domain-containing protein	103	129	178
Phum-OR502AA_002_000515.1	eggnog	Subunit of the integral membrane V0 complex of vacuolar ATPase	1019	1977	2489
Phum-OR502AA_002_000374.1	eggnog	Leucyl-tRNA synthetase, Domain 2	511	522	648
Phum-OR502AA_002_000514.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7484150.1	229.454	908.33	699.369
Phum-OR502AA_002_000375.1	blastp	Homology to Phytophthora infestans predicted protein KAF4150672.1	0	8	3
Phum-OR502AA_002_000376.1	unannotated	Hypothetical protein of unknown function	0	4	0
Phum-OR502AA_002_000377.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0479263.1	121	171	250
Phum-OR502AA_002_000378.1	eggnog	peptidyl-prolyl cis-trans isomerase activity	99.685	181.91	195.647
Phum-OR502AA_002_000513.1	eggnog	Cation efflux family	198	259	351
Phum-OR502AA_002_000512.1	eggnog	basic region leucin zipper	386.315	726.09	802.353
Phum-OR502AA_002_000379.1	unannotated	Hypothetical protein of unknown function	5	18	30
Phum-OR502AA_002_000380.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2788288.1	0	51	107
Phum-OR502AA_002_000511.1	unannotated	Hypothetical protein of unknown function	194	1352	951
Phum-OR502AA_002_000381.1	eggnog	DHHC palmitoyltransferase	0	18	26
Phum-OR502AA_002_000510.1	eggnog	domain-containing protein	222	397	478
Phum-OR502AA_002_000382.1	unannotated	Hypothetical protein of unknown function	51	98	162
Phum-OR502AA_002_000509.1	eggnog	function. Source PGD	248	446	729
Phum-OR502AA_002_000383.1	blastp	Homology to Peronospora effusa predicted protein UIZ29556.1	0	7	18
Phum-OR502AA_002_000508.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000384.1	eggnog	SSXT protein (N-terminal region)	28	50	97
Phum-OR502AA_002_000507.1	eggnog	domain-containing protein	2551	4309	5526
Phum-OR502AA_002_000506.1	blastp	Homology to Phytophthora sojae predicted protein XP_009525870.1	739	616	859
Phum-OR502AA_002_000385.1	eggnog	domain-containing protein	376	570	1064
Phum-OR502AA_002_000505.1	eggnog	Ring finger	80	176	181
Phum-OR502AA_002_000504.1	eggnog	Protein tyrosine kinase	5	10	31
Phum-OR502AA_002_000503.1	eggnog	Protein tyrosine kinase	15	21	41
Phum-OR502AA_002_000386.1	eggnog	domain-containing protein	45	29	40
Phum-OR502AA_002_000502.1	eggnog	Homeodomain	962	1469	1976
Phum-OR502AA_002_000501.1	unannotated	Hypothetical protein of unknown function	30	12	6
Phum-OR502AA_002_000387.1	eggnog	motor activity	76	102	128
Phum-OR502AA_002_000388.1	eggnog	motor activity	163	319	366
Phum-OR502AA_002_000389.1	eggnog	Major Facilitator Superfamily	334	514	838
Phum-OR502AA_002_000390.1	eggnog	domain-containing protein	12	19	29
Phum-OR502AA_002_000500.1	eggnog	Major Facilitator Superfamily	188	240	306
Phum-OR502AA_002_000391.1	eggnog	Anticodon binding domain of tRNAs	741	834	1114
Phum-OR502AA_002_000499.1	blastp	Homology to Phytophthora nicotianae predicted protein KUF87682.1	0	0	0
Phum-OR502AA_002_000392.1	eggnog	MreB/Mbl protein	5391	6301	8403
Phum-OR502AA_002_000393.1	eggnog	snRNP Sm proteins	403	363	608
Phum-OR502AA_002_000498.1	eggnog	MAP kinase activity	770	1170	1649
Phum-OR502AA_002_000497.1	interproscan	PTHR18937 domain-containing protein	0	0	0
Phum-OR502AA_002_000496.1	eggnog	transposition, RNA-mediated	0	0	0
Phum-OR502AA_002_000394.1	eggnog	domain-containing protein	0	0	0
Phum-OR502AA_002_000395.1	blastp	Homology to Phytophthora rubi predicted protein KAE8991507.1	10.68	48.478	56.62
Phum-OR502AA_002_000495.1	eggnog	domain-containing protein	95.001	180.884	173.973
Phum-OR502AA_002_000494.1	eggnog	domain-containing protein	67.548	187.326	368.487
Phum-OR502AA_002_000493.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000396.1	eggnog	Mitochondrial carrier protein	1059	1430	1949
Phum-OR502AA_002_000492.1	eggnog	transposition, RNA-mediated	0	0	0
Phum-OR502AA_002_000397.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000398.1	eggnog	domain-containing protein	35.452	145.674	247.513
Phum-OR502AA_002_000399.1	eggnog	domain-containing protein	96.999	168.116	150.027
Phum-OR502AA_002_000491.1	blastp	Homology to Phytophthora rubi predicted protein KAE8991507.1	32.32	57.522	95.38
Phum-OR502AA_002_000490.1	eggnog	Zinc finger, C2H2 type	32	66	61
Phum-OR502AA_002_000400.1	eggnog	ZIP Zinc transporter	225	247	314
Phum-OR502AA_002_000489.1	eggnog	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	1782	3085	4662
Phum-OR502AA_002_000488.1	eggnog	ATPase family associated with various cellular activities (AAA)	191	308	422
Phum-OR502AA_002_000487.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2768268.1	45	75	99
Phum-OR502AA_002_000486.1	eggnog	MT-A70	11	24	49
Phum-OR502AA_002_000485.1	eggnog	RNA recognition motif	1259	1301	1905
Phum-OR502AA_002_000401.1	blastp	Homology to Phytophthora idaei predicted protein KAG3162752.1	21	127	142
Phum-OR502AA_002_000484.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7460431.1	157	200	295
Phum-OR502AA_002_000402.1	eggnog	Sperm tail	125	286	369
Phum-OR502AA_002_000483.1	eggnog	RNA recognition motif	225	342	472
